0,1,2,3,4,5,6,7,8,9,10
ATP6V1E1,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ATP6V1G2,1.0,FALSE,0,1.0,1.0,1.0,,,0.0,Diverged_in_single-cell
ATP8B3,1.0,FALSE,0,0.0,1.0,1.0,0.88195070659205,1.0,0.0,Diverged_in_single-cell
ATPAF1,1.0,FALSE,0,0.0,1.0,1.0,0.846317384175654,1.0,0.0,Diverged_in_single-cell
ATRAID,1.0,FALSE,0,0.0,1.0,1.0,0.824719117969054,1.0,0.0,Diverged_in_single-cell
ATRN,1.0,FALSE,1,0.0,0.0,1.0,0.634449154097596,1.0,0.0,Diverged_in_single-cell
ATXN10,1.0,FALSE,0,0.0,1.0,1.0,0.448633006935632,1.0,0.0,Diverged_in_single-cell
ATXN7L3,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ATXN7L3B,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
AUNIP,1.0,FALSE,0,0.0,1.0,1.0,,,0.0,Diverged_in_single-cell
AUP1,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
AURKA,1.0,FALSE,0,0.0,1.0,1.0,0.929981307225946,1.0,0.0,Diverged_in_single-cell
AURKB,1.0,FALSE,1,1.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
AURKC,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
AVP,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
AZI2,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
AZU1,1.0,FALSE,0,0.0,1.0,1.0,0.0138820865260542,1.0,0.0,Diverged_in_single-cell
B4GALNT2,1.0,FALSE,0,1.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
B4GALNT3,1.0,FALSE,0,0.0,1.0,1.0,0.694305853068811,1.0,0.0,Diverged_in_single-cell
B4GALT2,1.0,FALSE,0,0.0,1.0,1.0,0.634449154097596,1.0,0.0,Diverged_in_single-cell
